index,form,posTag,nerLabel,Sentence #
1,Sevilla,N,B-ORG,48
1,chiến_thắng,V,O,48
1,danh_hiệu,N,O,48
1,Europa_League,Np,O,48
1,lần,N,O,48
1,thứ,N,O,48
1,6,M,O,48
1,sau,E,O,48
1,cuộc,N,O,48
1,đấu,V,O,48
1,căng_thẳng,A,O,48
1,với,E,O,48
1,Inter_Milan,Np,B-ORG,48
1,",",CH,O,48
1,trong,E,O,48
1,đó,P,O,48
1,liên_tục,A,O,48
1,bị,V,O,48
1,đối_phương,N,O,48
1,vượt,V,O,48
1,lên,R,O,48
1,và,Cc,O,48
1,dẫn,V,O,48
1,trước,N,O,48
1,từ,E,O,48
1,rất,R,O,48
1,sớm,A,O,48
1,–,CH,O,48
1,ngay,T,O,48
1,phút,Nu,O,48
1,thứ,N,O,48
1,5,M,O,48
1,.,CH,O,48
2,HLV,Ny,O,49
2,Lopetegui,Np,B-PER,49
2,rơi,V,O,49
2,nước_mắt,N,O,49
2,trong,E,O,49
2,niềm,N,O,49
2,vui,A,O,49
2,vô_địch,N,O,49
2,Europa_League,Np,O,49
2,cùng,A,O,49
2,Sevilla_Tuy,Np,B-PER,49
2,nhiên,A,O,49
2,",",CH,O,49
2,cú,N,O,49
2,đúp,V,O,49
2,sau,E,O,49
2,đó,P,O,49
2,của,E,O,49
2,De_Jong,Np,B-PER,49
2,và,Cc,O,49
2,pha,V,O,49
2,bật,V,O,49
2,cao,A,O,49
2,táo_bạo,A,O,49
2,móc,V,O,49
2,bóng,N,O,49
2,của,E,O,49
2,Diego_Carlos,Np,B-PER,49
2,đã,R,O,49
2,biến,V,O,49
2,Lukaku,Np,B-PER,49
2,thành,V,O,49
2,tội_đồ,N,O,49
2,(,CH,O,49
2,đá,N,O,49
2,phản,N,O,49
2,),CH,O,49
2,của,E,O,49
2,Inter_Milan,Np,B-ORG,49
2,",",CH,O,49
2,mang,V,O,49
2,lại,R,O,49
2,niềm,Nc,O,49
2,vui,A,O,49
2,chiến_thắng,V,O,49
2,cho,E,O,49
2,đội,N,O,49
2,bóng,N,O,49
2,Tây_Ban_Nha,Np,B-LOC,49
2,.,CH,O,49
3,Với,E,O,50
3,HLV,Ny,O,50
3,Lopetegui,Np,B-PER,50
3,",",CH,O,50
3,đây,P,O,50
3,là,V,O,50
3,vinh_quang,A,O,50
3,đầu_tiên,A,O,50
3,của,E,O,50
3,ông,N,O,50
3,trên,E,O,50
3,ghế,N,O,50
3,chỉ_đạo,V,O,50
3,kể,V,O,50
3,từ,E,O,50
3,khi,N,O,50
3,bị,V,O,50
3,Real_Madrid,Np,B-ORG,50
3,sa_thải,V,O,50
3,vào,E,O,50
3,2018,M,O,50
3,.,CH,O,50
4,Danh_hiệu,N,O,51
4,cũng,R,O,51
4,đặt,V,O,51
4,dấu,N,O,51
4,kết_thúc,V,O,51
4,2,M,O,51
4,năm,N,O,51
4,đầy,A,O,51
4,tủi_nhục,A,O,51
